,encoding,dataset,features,model,dim_reduction,n_train,n_test,accuracies,roc_auc,encoding_skrub,dim_reduction_skrub,n_train_skrub,n_test_skrub,accuracies_skrub,roc_auc_skrub,gain,gain_percent
0,fasttext__30,bikewale,all,GradientBoostingClassifier,passthrough,1000.0,500.0,0.856,0.9313995587099597,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.00871134422582931,-0.9266294219783459
1,hf__EleutherAI/pythia-1.4b,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.856,0.9403490456594642,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.00023814272367517209,0.025331343667167064
2,hf__EleutherAI/pythia-160m,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8611428571428571,0.9393726064129471,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0007382965228419636,-0.07853291782239763
3,hf__EleutherAI/pythia-1b,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8597142857142857,0.9388944650406914,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0012164378950976218,-0.12939302068499745
4,hf__EleutherAI/pythia-2.8b,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8654285714285714,0.941033119182401,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.0009222162466119288,0.09809653773102954
5,hf__EleutherAI/pythia-410m,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8611428571428571,0.9412914501701056,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.001180547234316598,0.1255753157026444
6,hf__EleutherAI/pythia-6.9b,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8594285714285714,0.9412796157805794,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.001168712844790365,0.12431648661245127
7,hf__EleutherAI/pythia-70m,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.862,0.9415275576749372,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.0014166547391482043,0.15069017226842693
8,hf__bert-base-cased,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8577142857142857,0.936307446831824,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0038034561039650416,-0.40457525724758275
9,hf__bert-large-cased,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8548571428571429,0.9365639710514804,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0035469318843086572,-0.3772886659682659
10,hf__huggyllama/llama-7b,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8665714285714285,0.9421923097396604,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.0020814068038713662,0.22140013453429008
11,hf__meta-llama/Llama-2-7b-hf,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8665714285714285,0.9467359732539772,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.006625070318188153,0.7047115715283493
12,hf__microsoft/deberta-v3-base,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8525714285714285,0.9322305457173549,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.007880357218434164,-0.8382369775550198
13,hf__microsoft/deberta-v3-large,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8537142857142858,0.936144886019387,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.003966016916402082,-0.42186692059595937
14,hf__mistralai/Mistral-7B-v0.1,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8674285714285714,0.9440704281885226,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.003959525252733576,0.42117639954698166
15,hf__roberta-base,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8557142857142858,0.9383982564278234,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0017126465079656539,-0.1821749436813659
16,hf__roberta-large,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8557142857142858,0.9378360838055297,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.002274819130259287,-0.24197348665518673
17,lm__BAAI/bge-large-en-v1.5,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8554285714285713,0.9376299805419352,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0024809223938537794,-0.2638967792104449
18,lm__BAAI/bge-small-en-v1.5,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8565714285714285,0.9378202197552151,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0022906831805739047,-0.24366095249193825
19,lm__TaylorAI/bge-micro,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8585714285714285,0.9389847161207429,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0011261868150461707,-0.11979297458728558
20,lm__TaylorAI/bge-micro-v2,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8531428571428571,0.9354628821282934,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.004648020807495601,-0.49441196703290097
21,lm__TaylorAI/gte-tiny,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8605714285714285,0.93832398804249,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0017869148932990742,-0.19007490368624338
22,lm__all-MiniLM-L12-v2,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8628571428571429,0.9393619393042618,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0007489636315272108,-0.07966758274883726
23,lm__all-MiniLM-L6-v2,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.858,0.9361287044441051,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.003982198491683908,-0.4235881616996732
24,lm__all-distilroberta-v1,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.852,0.9340633560877738,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.006047546848015228,-0.6432801522809575
25,lm__gtr-t5-base,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8545714285714286,0.9352728212117551,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0048380817240338825,-0.5146288282505251
26,lm__gtr-t5-xl,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8617142857142858,0.9395099768499904,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0006009260857986476,-0.0639207655099062
27,lm__gtr-t5-xxl,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.862,0.9413616950567189,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.0012507921209298223,0.13304729442279994
28,lm__intfloat/e5-base,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8665714285714285,0.9399789227802808,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.00013198015550819342,-0.014038785753472732
29,lm__intfloat/e5-base-v2,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8614285714285714,0.9371555791109831,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0029553238248059,-0.3143590629123629
30,lm__intfloat/e5-large,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8594285714285714,0.939473298974345,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0006376039614440776,-0.06782220687505705
31,lm__intfloat/e5-large-v2,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8591428571428572,0.9374869595510783,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.002623943384710725,-0.27910998335586207
32,lm__intfloat/e5-small,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8657142857142857,0.9403093698353782,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.00019846689958913366,0.021111009240437375
33,lm__intfloat/e5-small-v2,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.862,0.9378923914474726,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0022185114883164214,-0.2359840186289116
