encoding;features;model;dim_reduction;gain_percent;rank;Number of Parameters;prefix;name_without_prefix;version;family
fasttext__30;all;GradientBoostingClassifier;passthrough;1.526916384383084;38.642857142857146;Unknown;Unknown;Unknown;Unknown;Unknown
EleutherAI/pythia-1.4b;all;GradientBoostingClassifier;PCA_30;2.174632675526712;30.0;1,4E+09;Unknown;Unknown;Unknown;Pythia
EleutherAI/pythia-160m;all;GradientBoostingClassifier;PCA_30;1.3659489232414637;36.285714285714285;1,6E+08;Unknown;Unknown;Unknown;Pythia
EleutherAI/pythia-1b;all;GradientBoostingClassifier;PCA_30;2.302207738063391;28.857142857142858;1E+09;Unknown;Unknown;Unknown;Pythia
EleutherAI/pythia-2.8b;all;GradientBoostingClassifier;PCA_30;2.1617694838165926;29.785714285714285;2,8E+09;Unknown;Unknown;Unknown;Pythia
EleutherAI/pythia-410m;all;GradientBoostingClassifier;PCA_30;1.4173980804124642;39.07142857142857;4,1E+08;Unknown;Unknown;Unknown;Pythia
EleutherAI/pythia-6.9b;all;GradientBoostingClassifier;PCA_30;2.809455223042133;21.214285714285715;6,9E+09;Unknown;Unknown;Unknown;Pythia
EleutherAI/pythia-70m;all;GradientBoostingClassifier;PCA_30;0.9532299061958941;38.642857142857146;7E+07;Unknown;Unknown;Unknown;Pythia
bert-base-cased;all;GradientBoostingClassifier;PCA_30;1.704238785130015;32.07142857142857;1,09E+08;Unknown;Unknown;Unknown;Bert
bert-large-cased;all;GradientBoostingClassifier;PCA_30;1.682890659220741;31.714285714285715;3,35E+08;Unknown;Unknown;Unknown;Bert
huggyllama/llama-7b;all;GradientBoostingClassifier;PCA_30;3.754078008691387;14.0;7E+09;Unknown;Unknown;Unknown;Unknown
meta-llama/Llama-2-7b-hf;all;GradientBoostingClassifier;PCA_30;4.001490560994256;12.642857142857142;7E+09;Unknown;Unknown;Unknown;Unknown
microsoft/deberta-v3-base;all;GradientBoostingClassifier;PCA_30;1.1895067428530421;38.57142857142857;1,84E+08;Unknown;Unknown;Unknown;DeBerta-v3
microsoft/deberta-v3-large;all;GradientBoostingClassifier;PCA_30;1.5302390279044569;36.857142857142854;3,35E+08;Unknown;Unknown;Unknown;DeBerta-v3
mistralai/Mistral-7B-v0.1;all;GradientBoostingClassifier;PCA_30;3.93264301453791;13.0;7E+09;Unknown;Unknown;Unknown;Unknown
roberta-base;all;GradientBoostingClassifier;PCA_30;1.74216492972131;31.5;1,25E+08;Unknown;Unknown;Unknown;Roberta
roberta-large;all;GradientBoostingClassifier;PCA_30;1.3664949696782702;31.285714285714285;3,35E+08;Unknown;Unknown;Unknown;Roberta
