dataset,target,recall,precision,f1
Amphibian,0.9,0.5185185185185185,0.9376947040498442,0.6677759290072101
ArtificialSatellite,0.9,0.20833333333333334,0.9375,0.34090909090909094
Artwork,0.9,0.8,0.875,0.8358208955223881
Award,0.9,0.3828125,0.8698224852071006,0.5316455696202531
BasketballTeam,0.9,0.5662650602409639,0.8034188034188035,0.6643109540636043
Case,0.9,0.9526315789473684,0.9027431421446384,0.9270166453265044
ChristianBishop,0.9,0.7773279352226721,0.9121140142517815,0.8393442622950819
ClericalAdministrativeRegion,0.9,0.7684210526315789,0.8795180722891566,0.8202247191011235
Country,0.9,0.5154639175257731,0.8771929824561403,0.6493506493506492
Device,0.9,0.49848024316109424,0.9035812672176309,0.6425073457394711
Drug,0.9,0.3184713375796178,0.9259259259259259,0.47393364928909953
Election,0.9,0.5969738651994498,0.8839103869653768,0.7126436781609196
Enzyme,0.9,0.6458333333333334,0.9393939393939394,0.7654320987654321
EthnicGroup,0.9,0.7050739957716702,0.9276773296244785,0.8012012012012013
FootballLeagueSeason,0.9,0.4928571428571429,0.770949720670391,0.6013071895424836
FootballMatch,0.9,0.6792452830188679,0.8571428571428571,0.7578947368421052
Galaxy,0.9,0.29411764705882354,0.7142857142857143,0.4166666666666667
GivenName,0.9,0.8896103896103896,0.9785714285714285,0.9319727891156462
GovernmentAgency,0.9,0.6007005253940455,0.8245192307692307,0.6950354609929078
HistoricBuilding,0.9,0.765625,0.9074074074074074,0.8305084745762712
Hospital,0.9,0.5369649805447471,0.8903225806451613,0.6699029126213591
Legislature,0.9,0.7731481481481481,0.9597701149425287,0.8564102564102563
Magazine,0.9,0.7773722627737226,0.9342105263157895,0.848605577689243
MemberOfParliament,0.9,0.6520874751491054,0.8770053475935828,0.7480045610034208
Monarch,0.9,0.5330578512396694,0.8543046357615894,0.6564885496183207
MotorsportSeason,0.9,0.865979381443299,0.9655172413793104,0.9130434782608695
Museum,0.9,0.5508196721311476,0.9281767955801105,0.691358024691358
NCAATeamSeason,0.9,0.4117647058823529,1.0,0.5833333333333334
NationalFootballLeagueSeason,0.9,0.5,1.0,0.6666666666666666
NaturalEvent,0.9,0.5686274509803921,0.9354838709677419,0.7073170731707317
Noble,0.9,0.38186813186813184,0.852760736196319,0.5275142314990512
PoliticalParty,0.9,0.30505050505050507,0.9151515151515152,0.45757575757575764
