dataset,target,recall,precision,f1
Amphibian,0.4,0.5254091300602929,0.7314148681055156,0.6115288220551379
ArtificialSatellite,0.4,0.5277777777777778,0.8444444444444444,0.6495726495726496
Artwork,0.4,0.8857142857142857,0.8543307086614174,0.8697394789579158
Award,0.4,0.5130208333333334,0.7848605577689243,0.620472440944882
BasketballTeam,0.4,0.7349397590361446,0.7393939393939394,0.7371601208459213
Case,0.4,0.9631578947368421,0.9014778325123153,0.9312977099236641
ChristianBishop,0.4,0.8421052631578947,0.8927038626609443,0.8666666666666666
ClericalAdministrativeRegion,0.4,0.8736842105263158,0.8645833333333334,0.8691099476439791
Country,0.4,0.6872852233676976,0.8264462809917356,0.7504690431519699
Device,0.4,0.7644376899696048,0.8934280639431617,0.8239148239148238
Drug,0.4,0.4840764331210191,0.8941176470588236,0.628099173553719
Election,0.4,0.7744154057771664,0.8328402366863905,0.8025659301496791
Enzyme,0.4,0.6666666666666666,0.9411764705882353,0.7804878048780487
EthnicGroup,0.4,0.821353065539112,0.8941311852704258,0.8561983471074379
FootballLeagueSeason,0.4,0.775,0.821969696969697,0.7977941176470588
FootballMatch,0.4,0.8301886792452831,0.8461538461538461,0.8380952380952382
Galaxy,0.4,0.4117647058823529,0.7777777777777778,0.5384615384615384
GivenName,0.4,0.948051948051948,0.9798657718120806,0.9636963696369636
GovernmentAgency,0.4,0.702276707530648,0.7580340264650284,0.7290909090909091
HistoricBuilding,0.4,0.84375,0.8852459016393442,0.864
Hospital,0.4,0.6653696498054474,0.8423645320197044,0.7434782608695651
Legislature,0.4,0.8055555555555556,0.9015544041450777,0.8508557457212715
Magazine,0.4,0.8248175182481752,0.9224489795918367,0.8709055876685934
MemberOfParliament,0.4,0.8608349900596421,0.8625498007968128,0.8616915422885573
Monarch,0.4,0.7975206611570248,0.8143459915611815,0.8058455114822548
MotorsportSeason,0.4,0.8994845360824743,0.9509536784741145,0.9245033112582782
Museum,0.4,0.6950819672131148,0.8724279835390947,0.7737226277372262
NCAATeamSeason,0.4,0.9411764705882353,1.0,0.9696969696969697
NationalFootballLeagueSeason,0.4,1.0,1.0,1.0
NaturalEvent,0.4,0.6470588235294118,0.9428571428571428,0.7674418604651163
Noble,0.4,0.7527472527472527,0.8130563798219584,0.7817403708987162
PoliticalParty,0.4,0.5696969696969697,0.815028901734104,0.6706302021403092
Race,0.4,0.4057142857142857,0.6826923076923077,0.5089605734767024
RailwayLine,0.4,0.6711409395973155,0.8,0.72992700729927
Reptile,0.4,0.9679715302491103,0.8095238095238095,0.8816855753646677
RugbyLeague,0.4,0.6206896551724138,0.75,0.679245283018868
ShoppingMall,0.4,0.9371069182389937,0.7487437185929648,0.8324022346368716
SoccerClubSeason,0.4,0.9803921568627451,0.9259259259259259,0.9523809523809523
SoccerLeague,0.4,0.5,0.6918604651162791,0.5804878048780489
SoccerTournament,0.4,0.8655172413793103,0.8900709219858156,0.8776223776223777
Song,0.4,0.9227272727272727,0.9376443418013857,0.9301260022909508
SportFacility,0.4,0.49404761904761907,0.8217821782178217,0.617100371747212
SportsLeague,0.4,0.501039501039501,0.7507788161993769,0.600997506234414
Stadium,0.4,0.4894991922455573,0.7931937172774869,0.6053946053946053
TelevisionStation,0.4,0.4713541666666667,0.7950219619326501,0.5918256130790192
TennisTournament,0.4,0.7777777777777778,1.0,0.8750000000000001
Tournament,0.4,0.710239651416122,0.8190954773869347,0.7607934655775962
UnitOfWork,0.4,0.9631578947368421,0.9014778325123153,0.9312977099236641
Venue,0.4,0.6432291666666666,0.8697183098591549,0.7395209580838323
Wrestler,0.4,0.2952586206896552,0.7784090909090909,0.42812500000000003
Amphibian,0.3,0.5254091300602929,0.7296650717703349,0.6109163745618428
ArtificialSatellite,0.3,0.5277777777777778,0.8444444444444444,0.6495726495726496
Artwork,0.3,0.8857142857142857,0.8543307086614174,0.8697394789579158
Award,0.3,0.515625,0.7857142857142857,0.6226415094339622
BasketballTeam,0.3,0.7349397590361446,0.7393939393939394,0.7371601208459213
Case,0.3,0.9631578947368421,0.9014778325123153,0.9312977099236641
ChristianBishop,0.3,0.8421052631578947,0.8946236559139785,0.867570385818561
ClericalAdministrativeRegion,0.3,0.868421052631579,0.873015873015873,0.870712401055409
Country,0.3,0.6735395189003437,0.8305084745762712,0.7438330170777989
Device,0.3,0.7659574468085106,0.8952042628774423,0.8255528255528254
Drug,0.3,0.5031847133757962,0.9294117647058824,0.6528925619834711
Election,0.3,0.7730398899587345,0.8325925925925926,0.8017118402282454
Enzyme,0.3,0.6666666666666666,0.9411764705882353,0.7804878048780487
EthnicGroup,0.3,0.8224101479915433,0.8942528735632184,0.8568281938325992
FootballLeagueSeason,0.3,0.7714285714285715,0.8212927756653993,0.7955801104972376
FootballMatch,0.3,0.8301886792452831,0.8461538461538461,0.8380952380952382
Galaxy,0.3,0.4117647058823529,0.7777777777777778,0.5384615384615384
GivenName,0.3,0.948051948051948,0.9798657718120806,0.9636963696369636
GovernmentAgency,0.3,0.6935201401050788,0.7630057803468208,0.7266055045871559
HistoricBuilding,0.3,0.841796875,0.8850102669404517,0.8628628628628628
