encoding,dim_reduction,model,n_train,n_test,dataset,features,accuracies,roc_auc
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,all,0.83,0.9127783454159165
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,all,0.878,0.9498346815613765
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,all,0.856,0.9311680000000001
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,all,0.862,0.93539096625546
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,all,0.862,0.9375912467311609
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,all,0.884,0.9522963632840256
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,all,0.848,0.9389482135688478
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,text_only,0.746,0.8354254853306086
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,text_only,0.754,0.8405479583975347
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,text_only,0.778,0.822432
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,text_only,0.804,0.8609977759644154
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,text_only,0.722,0.8096533025300412
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,text_only,0.764,0.8464650216394289
skrub__minhash_30,passthrough,GradientBoostingClassifier,500,500,bikewale,text_only,0.724,0.8138819751103974
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.86,0.9449394930630528
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.878,0.9426296480238389
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.85,0.9376811594202898
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.844,0.9332277265745009
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.866,0.9461992809450438
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.85,0.9388929292929292
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.86,0.9372701726214372
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,text_only,0.792,0.8741842440258464
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,text_only,0.732,0.8327832871401336
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,text_only,0.748,0.8222222222222222
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,text_only,0.762,0.8524305555555556
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,text_only,0.744,0.8277638674884438
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,text_only,0.77,0.8337292929292929
