encoding,dim_reduction,model,n_train,n_test,dataset,features,accuracies,roc_auc
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.86,0.945197312235131
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.878,0.9429981255707396
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.85,0.937632850241546
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.842,0.933291730670763
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.868,0.9462474319465844
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.852,0.9386666666666666
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,bikewale,all,0.86,0.9371898835808912
skrub__minhash_30,passthrough,GradientBoostingClassifier,3000,500,bikewale,all,0.894,0.9629386631674961
skrub__minhash_30,passthrough,GradientBoostingClassifier,3000,500,bikewale,all,0.888,0.9601075896039926
skrub__minhash_30,passthrough,GradientBoostingClassifier,3000,500,bikewale,all,0.882,0.953947051164585
skrub__minhash_30,passthrough,GradientBoostingClassifier,3000,500,bikewale,all,0.878,0.9488136625066085
skrub__minhash_30,passthrough,GradientBoostingClassifier,3000,500,bikewale,all,0.888,0.9661321072109453
skrub__minhash_30,passthrough,GradientBoostingClassifier,3000,500,bikewale,all,0.89,0.9567759816722472
skrub__minhash_30,passthrough,GradientBoostingClassifier,3000,500,bikewale,all,0.868,0.9486157147203408
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,clear_corpus,all,0.786,0.865352564102564
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,clear_corpus,all,0.74,0.8116471266576974
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,clear_corpus,all,0.77,0.8533890570207043
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,clear_corpus,all,0.734,0.8499655332724153
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,clear_corpus,all,0.748,0.8447632527020073
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,clear_corpus,all,0.77,0.8491965587401271
skrub__minhash_30,passthrough,GradientBoostingClassifier,1000,500,clear_corpus,all,0.76,0.8389435774309725
