,dataset,model,col_to_encode_with_new,features,new_encoder_name,roc_auc,col_to_encode_with_new_no_column,features_no_column,new_encoder_name_no_column,roc_auc_no_column,features_drop,new_encoder_name_drop,roc_auc_drop,dataset_col,gain,gain_percentage,mean_length,cardinality,cardinality_div_by_nrows,mean_word_length,mean_word_length_unique,ngrams,ngrams_div_by_nrows,ngrams_div_by_length,ngarms_div_by_length_and_nrows,prop_shared_ngrams
0,bikewale,GradientBoostingClassifier,bike_name,all,lm__BAAI/bge-large-en-v1.5,0.9422295864694394,no_column,all,openai__,0.9404423636532283,all,drop,0.9276799222254989,bikewale__bike_name,0.0017872228162111314,0.1900406537694147,26.33,231,0.231,4.547,4.533,2683,2.683,101.89897455374098,0.10189897455374099,0.027204621692135722
1,bikewale,GradientBoostingClassifier,bike_name,all,openai__,0.9427701482115933,no_column,all,openai__,0.9404423636532283,all,drop,0.9276799222254989,bikewale__bike_name,0.0023277845583650203,0.24752017224346884,26.33,231,0.231,4.547,4.533,2683,2.683,101.89897455374098,0.10189897455374099,0.027204621692135722
2,clear_corpus,GradientBoostingClassifier,Author,all,lm__BAAI/bge-large-en-v1.5,0.8500642404057414,no_column,all,openai__,0.841338225347558,all,drop,0.8420497584999446,clear_corpus__Author,0.008726015058183378,1.0371589921019755,19.907,727,0.727,3.161,3.129,11863,11.863,595.9210328025317,0.5959210328025317,0.004517828542527186
3,clear_corpus,GradientBoostingClassifier,Author,all,openai__,0.8487331824736916,no_column,all,openai__,0.841338225347558,all,drop,0.8420497584999446,clear_corpus__Author,0.007394957126133583,0.8789517584415848,19.907,727,0.727,3.161,3.129,11863,11.863,595.9210328025317,0.5959210328025317,0.004517828542527186
4,clear_corpus,GradientBoostingClassifier,Pub_Year,all,lm__BAAI/bge-large-en-v1.5,0.8453876965340521,no_column,all,openai__,0.841338225347558,all,drop,0.8242892114147085,clear_corpus__Pub_Year,0.004049471186494125,0.4813131110049449,3.994,117,0.117,1.0,1.0,340,0.34,85.12769153730595,0.08512769153730596,0.017611764705882355
5,clear_corpus,GradientBoostingClassifier,Pub_Year,all,openai__,0.8459124208725941,no_column,all,openai__,0.841338225347558,all,drop,0.8242892114147085,clear_corpus__Pub_Year,0.004574195525036129,0.5436809344002553,3.994,117,0.117,1.0,1.0,340,0.34,85.12769153730595,0.08512769153730596,0.017611764705882355
6,clear_corpus,GradientBoostingClassifier,name,all,lm__BAAI/bge-large-en-v1.5,0.851627092308726,no_column,all,openai__,0.841338225347558,all,drop,0.8443826721756974,clear_corpus__name,0.010288866961168042,1.2229168545049403,27.797,998,0.998,4.698,4.582,14657,14.657,527.2871173148181,0.5272871173148181,0.005250119396875223
7,clear_corpus,GradientBoostingClassifier,name,all,openai__,0.8509442586293421,no_column,all,openai__,0.841338225347558,all,drop,0.8443826721756974,clear_corpus__name,0.00960603328178411,1.1417564295044176,27.797,998,0.998,4.698,4.582,14657,14.657,527.2871173148181,0.5272871173148181,0.005250119396875223
8,company_employees,GradientBoostingClassifier,domain,all,lm__BAAI/bge-large-en-v1.5,0.6237994207793705,no_column,all,openai__,0.5929519790222331,all,drop,0.5945343264411262,company_employees__domain,0.030847441757137384,5.2023507549471795,12.208,1000,1.0,1.0,1.0,8896,8.896,728.7024901703801,0.7287024901703801,0.003442446043165466
9,company_employees,GradientBoostingClassifier,domain,all,openai__,0.6200607792308077,no_column,all,openai__,0.5929519790222331,all,drop,0.5945343264411262,company_employees__domain,0.027108800208574646,4.5718373776703745,12.208,1000,1.0,1.0,1.0,8896,8.896,728.7024901703801,0.7287024901703801,0.003442446043165466
10,company_employees,GradientBoostingClassifier,industry,all,lm__BAAI/bge-large-en-v1.5,0.5914464991599233,no_column,all,openai__,0.5929519790222331,all,drop,0.5854731008645541,company_employees__industry,-0.0015054798623097554,-0.25389574798152525,16.503,104,0.104,1.995,1.995,2000,2.0,121.19008665091195,0.12119008665091195,0.021754499999999982
